PROJECT_ID,PROJECT_NAME,PROJECT_MANAGER,START_DATE,END_DATE,DURATION_DAYS,TOTAL_BUDGET_USD,STATUS
PRJ-1024,Central Maintenance Phase 2,L. Wang,23-09-2025,22-12-2025,90,21932124,Active
PRJ-1025,Central Grid Phase 2,A. Patel,04-11-2025,28-11-2025,24,2555059,Closed
PRJ-1026,West Maintenance Phase 2,L. Wang,17-12-2025,27-12-2025,10,1086935,Active
PRJ-1027,Metro Solar Phase 3,L. Wang,19-10-2025,17-01-2026,90,16923561,Active
PRJ-1028,Central Compliance Phase 4,A. Patel,14-03-2026,12-06-2026,90,21577722,Active
PRJ-1029,North Hydro Phase 4,K. Jones,26-11-2025,24-02-2026,90,16404204,Active
PRJ-1030,Rural Substation Phase 1,M. Garcia,09-07-2025,19-07-2025,10,913858,Closed
PRJ-1031,Metro Solar Phase 2,J. Smith,16-12-2024,09-01-2025,24,2456207,Closed
PRJ-1032,West Compliance Phase 3,J. Smith,28-11-2024,15-01-2025,48,7679037,Closed
PRJ-1033,East Solar Phase 4,R. Dias,02-10-2025,06-11-2025,35,4299969,Active
PRJ-1034,Metro Wind Phase 2,A. Patel,24-03-2025,28-04-2025,35,3926324,Closed
PRJ-1035,Metro Substation Phase 1,T. Nguyen,23-06-2025,17-07-2025,24,2747972,Closed
PRJ-1036,East Grid Phase 3,J. Smith,07-02-2026,08-05-2026,90,18132291,Active
PRJ-1037,East Hydro Phase 3,K. Jones,23-02-2025,24-04-2025,60,6373384,Closed
PRJ-1038,Rural Compliance Phase 3,K. Jones,27-01-2025,28-03-2025,60,6090928,Closed
PRJ-1039,North Grid Phase 1,R. Dias,26-09-2025,14-10-2025,18,1883524,Active
PRJ-1040,Central Substation Phase 4,M. Garcia,16-01-2025,05-03-2025,48,5088266,Closed
PRJ-1041,South Substation Phase 1,M. Garcia,19-03-2026,15-09-2026,180,69631356,Active
PRJ-1042,South Wind Phase 2,R. Dias,19-12-2025,06-01-2026,18,2227887,Active
PRJ-1043,Metro Solar Phase 2,L. Wang,09-05-2025,06-09-2025,120,12123727,Closed
PRJ-1044,Metro Grid Phase 3,J. Smith,10-12-2025,27-01-2026,48,7655777,Active
PRJ-1045,South Maintenance Phase 2,K. Jones,26-02-2026,02-04-2026,35,3852291,Active
PRJ-1046,West Grid Phase 1,T. Nguyen,23-09-2025,17-10-2025,24,2821614,Active
PRJ-1047,Rural Maintenance Phase 2,T. Nguyen,06-12-2025,10-01-2026,35,3201141,Active
PRJ-1048,West Hydro Phase 3,T. Nguyen,14-09-2025,08-10-2025,24,2833190,Active
PRJ-1049,East Compliance Phase 3,M. Garcia,02-11-2025,31-01-2026,90,21200907,Active
PRJ-1050,East Substation Phase 3,K. Jones,01-01-2026,01-04-2026,90,16991612,Active
PRJ-1051,Central Substation Phase 3,J. Smith,02-11-2025,20-12-2025,48,7482742,Closed
PRJ-1052,West Compliance Phase 1,J. Smith,27-02-2026,16-04-2026,48,5731622,Active
PRJ-1053,North Substation Phase 4,M. Garcia,23-02-2025,13-03-2025,18,2094257,Closed
PRJ-1054,Metro Maintenance Phase 2,T. Nguyen,12-03-2026,10-07-2026,120,12006844,Active
PRJ-1055,South Solar Phase 1,J. Smith,09-10-2025,13-11-2025,35,4149059,Closed
PRJ-1056,North Grid Phase 2,L. Wang,28-10-2025,26-01-2026,90,19428213,Active
PRJ-1057,Rural Grid Phase 2,R. Dias,10-03-2026,28-03-2026,18,2220258,Active
PRJ-1058,South Maintenance Phase 4,K. Jones,22-09-2024,20-01-2025,120,12122732,Closed
PRJ-1059,Rural Substation Phase 2,M. Garcia,09-01-2026,10-03-2026,60,6295818,Active
PRJ-1060,East Grid Phase 1,M. Garcia,04-11-2025,09-12-2025,35,3759783,Active
PRJ-1061,North Substation Phase 4,A. Patel,02-02-2026,09-03-2026,35,3849290,Active
PRJ-1062,West Compliance Phase 3,L. Wang,08-09-2025,07-11-2025,60,6417994,Active
PRJ-1063,Rural Wind Phase 4,J. Smith,22-12-2025,20-02-2026,60,6368074,Active
PRJ-1064,East Hydro Phase 1,L. Wang,27-10-2025,14-12-2025,48,55472321,Active
PRJ-1065,South Substation Phase 2,T. Nguyen,11-06-2025,21-06-2025,10,924974,Closed
PRJ-1066,West Grid Phase 1,J. Smith,05-11-2025,04-01-2026,60,6362844,Active
PRJ-1067,North Compliance Phase 1,M. Garcia,14-01-2026,15-03-2026,60,6284525,Active
PRJ-1068,North Hydro Phase 3,R. Dias,28-06-2025,22-07-2025,24,2805667,Closed
PRJ-1069,Rural Compliance Phase 3,A. Patel,11-01-2025,11-05-2025,120,12026199,Closed
PRJ-1070,East Substation Phase 4,T. Nguyen,01-12-2025,11-12-2025,10,1052496,Closed
PRJ-1071,Central Compliance Phase 2,K. Jones,10-12-2025,14-01-2026,35,4021142,Active
PRJ-1072,Metro Substation Phase 4,T. Nguyen,02-09-2025,26-09-2025,24,2806256,Closed
PRJ-1073,North Compliance Phase 3,R. Dias,30-11-2025,17-01-2026,48,6903973,Active
PRJ-1074,Rural Maintenance Phase 2,R. Dias,09-09-2025,27-09-2025,18,2164681,Closed
PRJ-1075,South Substation Phase 1,L. Wang,19-10-2025,06-12-2025,48,7561197,Active
PRJ-1076,East Grid Phase 1,T. Nguyen,10-03-2026,03-04-2026,24,2637170,Active
PRJ-1077,Rural Compliance Phase 3,K. Jones,06-03-2025,04-06-2025,90,19589108,Closed
PRJ-1078,East Substation Phase 1,A. Patel,22-03-2025,09-04-2025,18,1890583,Closed
PRJ-1079,Metro Wind Phase 2,R. Dias,05-11-2025,23-12-2025,48,7315126,Closed
PRJ-1080,East Wind Phase 3,A. Patel,27-10-2025,26-12-2025,60,6309060,Active
PRJ-1081,West Grid Phase 4,A. Patel,30-10-2025,17-12-2025,48,7364288,Active
PRJ-1082,Rural Hydro Phase 3,K. Jones,15-11-2025,13-02-2026,90,15075372,Active
PRJ-1083,Metro Maintenance Phase 3,M. Garcia,19-03-2025,17-07-2025,120,12458657,Closed
PRJ-1084,West Maintenance Phase 2,R. Dias,27-08-2025,25-11-2025,90,21816442,Closed
PRJ-1085,West Wind Phase 3,L. Wang,28-02-2026,18-03-2026,18,2265549,Active
PRJ-1086,Central Solar Phase 4,R. Dias,12-05-2025,22-05-2025,10,966998,Closed
PRJ-1087,East Wind Phase 3,M. Garcia,25-02-2026,15-03-2026,18,1813527,Active
PRJ-1088,Rural Substation Phase 3,L. Wang,25-01-2026,24-07-2026,180,69931278,Active
PRJ-1089,North Grid Phase 3,A. Patel,08-03-2025,12-04-2025,35,4360506,Closed
PRJ-1090,Rural Grid Phase 2,L. Wang,29-09-2025,16-11-2025,48,5430150,Active
PRJ-1091,Central Compliance Phase 1,R. Dias,23-05-2025,16-06-2025,24,2796851,Closed
PRJ-1092,East Solar Phase 2,L. Wang,02-12-2025,06-01-2026,35,4173736,Active
PRJ-1093,Metro Substation Phase 3,R. Dias,25-09-2025,05-10-2025,10,1046283,Closed
PRJ-1094,Central Compliance Phase 2,M. Garcia,28-11-2025,22-12-2025,24,2626135,Active
PRJ-1095,East Solar Phase 1,L. Wang,24-10-2025,28-11-2025,35,4067565,Active
PRJ-1096,Metro Grid Phase 2,T. Nguyen,17-11-2025,11-12-2025,24,2624722,Active
PRJ-1097,South Compliance Phase 1,A. Patel,28-06-2025,15-08-2025,48,54537242,Closed
PRJ-1098,North Grid Phase 2,M. Garcia,06-09-2025,30-09-2025,24,2830164,Closed
PRJ-1099,North Maintenance Phase 1,A. Patel,17-10-2025,16-12-2025,60,6459014,Active
PRJ-1100,Rural Grid Phase 2,R. Dias,20-06-2025,07-08-2025,48,5377667,Closed
PRJ-1101,South Hydro Phase 1,A. Patel,26-12-2025,30-01-2026,35,4494520,Active
PRJ-1102,South Solar Phase 1,L. Wang,29-10-2025,16-12-2025,48,6456311,Active
PRJ-1103,Metro Hydro Phase 4,T. Nguyen,23-09-2024,21-01-2025,120,12114276,Closed
PRJ-1104,East Grid Phase 3,M. Garcia,28-11-2025,02-01-2026,35,3759846,Active
PRJ-1105,West Grid Phase 1,M. Garcia,29-09-2025,28-12-2025,90,21837981,Closed
PRJ-1106,North Substation Phase 4,R. Dias,07-04-2025,05-08-2025,120,12049908,Closed
PRJ-1107,Metro Substation Phase 4,A. Patel,27-02-2025,23-03-2025,24,2736429,Closed
PRJ-1108,East Wind Phase 3,L. Wang,08-01-2025,18-01-2025,10,1085992,Closed
PRJ-1109,East Wind Phase 3,A. Patel,21-01-2026,21-04-2026,90,20537435,Active
PRJ-1110,Rural Maintenance Phase 4,A. Patel,16-10-2025,14-01-2026,90,15873855,Active
PRJ-1111,Metro Compliance Phase 2,R. Dias,26-02-2025,27-04-2025,60,6253563,Closed
PRJ-1112,Metro Maintenance Phase 1,J. Smith,26-09-2025,25-11-2025,60,6235401,Active
PRJ-1113,Metro Grid Phase 2,M. Garcia,16-12-2025,26-12-2025,10,1013895,Closed
PRJ-1114,West Hydro Phase 1,R. Dias,18-01-2026,22-02-2026,35,3005613,Active
