PROJECT_ID,PROJECT_NAME,STATUS,TOTAL_BUDGET,PRIOR_SPEND,CURRENT_TIMESHEET_SPEND,TOTAL_SPEND,PERCENT_USED
PRJ-1080,East Wind Phase 3,Active,6309060,2571380.48,33398.0,2604778.48,41.3
PRJ-1075,South Substation Phase 1,Active,7561197,3070977.85,44881.25,3115859.1,41.2
PRJ-1015,South Solar Phase 2,Active,932505,302821.59,44322.5,347144.09,37.2
PRJ-1109,East Wind Phase 3,Active,20537435,7472099.29,37977.75,7510077.04,36.6
PRJ-1071,Central Compliance Phase 2,Active,4021142,1404155.63,31895.0,1436050.63,35.7
PRJ-1011,North Wind Phase 4,Active,3188827,1077655.89,41659.5,1119315.39,35.1
PRJ-1056,North Grid Phase 2,Active,19428213,6365249.22,28855.25,6394104.47,32.9
PRJ-1022,Metro Substation Phase 3,Active,4228524,1312053.27,51018.0,1363071.27,32.2
PRJ-1092,East Solar Phase 2,Active,4173736,1297812.34,28850.0,1326662.34,31.8
PRJ-1013,Central Compliance Phase 3,Active,3984706,1145000.64,30115.5,1175116.14,29.5
PRJ-1049,East Compliance Phase 3,Active,21200907,6206933.14,39127.0,6246060.14,29.5
PRJ-1090,Rural Grid Phase 2,Active,5430150,1537396.47,32859.5,1570255.97,28.9
PRJ-1102,South Solar Phase 1,Active,6456311,1783261.42,44163.0,1827424.42,28.3
PRJ-1085,West Wind Phase 3,Active,2265549,527489.96,26665.5,554155.46,24.5
PRJ-1094,Central Compliance Phase 2,Active,2626135,598338.55,26132.0,624470.55,23.8
PRJ-1057,Rural Grid Phase 2,Active,2220258,453748.74,40492.75,494241.49,22.3
PRJ-1007,Rural Wind Phase 3,Active,7700800,1468941.54,29978.25,1498919.79,19.5
PRJ-1067,North Compliance Phase 1,Active,6284525,1130498.44,54944.25,1185442.69,18.9
PRJ-1076,East Grid Phase 1,Active,2637170,448642.12,43876.0,492518.12,18.7
PRJ-1063,Rural Wind Phase 4,Active,6368074,1121621.53,36979.75,1158601.28,18.2
PRJ-1059,Rural Substation Phase 2,Active,6295818,1002627.43,25465.75,1028093.18,16.3
PRJ-1028,Central Compliance Phase 4,Active,21577722,3315975.16,28146.5,3344121.66,15.5
PRJ-1018,East Grid Phase 3,Active,3019533,405082.35,48847.5,453929.85,15.0
PRJ-1033,East Solar Phase 4,Active,4299969,616152.74,24337.25,640489.99,14.9
PRJ-1010,East Substation Phase 4,Active,7378125,860760.59,34235.75,894996.34,12.1
PRJ-1005,Metro Substation Phase 2,Active,3616480,362239.73,45812.25,408051.98,11.3
PRJ-1045,South Maintenance Phase 2,Active,3852291,366780.42,45516.25,412296.67,10.7
PRJ-1114,West Hydro Phase 1,Active,3005613,273667.11,40105.0,313772.11,10.4
PRJ-1055,South Solar Phase 1,Closed,4149059,4602237.13,0.0,4602237.13,110.9
PRJ-1008,Metro Compliance Phase 2,Closed,1009307,1110302.29,4340.0,1114642.29,110.4
PRJ-1065,South Substation Phase 2,Closed,924974,1017293.51,3347.5,1020641.01,110.3
PRJ-1105,West Grid Phase 1,Closed,21837981,24079248.93,1185.0,24080433.93,110.3
PRJ-1113,Metro Grid Phase 2,Closed,1013895,1117873.87,0.0,1117873.87,110.3
PRJ-1031,Metro Solar Phase 2,Closed,2456207,2683196.59,6753.75,2689950.34,109.5
PRJ-1103,Metro Hydro Phase 4,Closed,12114276,13156733.15,0.0,13156733.15,108.6
PRJ-1098,North Grid Phase 2,Closed,2830164,3007287.03,2625.0,3009912.03,106.4
PRJ-1084,West Maintenance Phase 2,Closed,21816442,23136302.54,0.0,23136302.54,106.0
PRJ-1032,West Compliance Phase 3,Closed,7679037,8068619.69,1050.0,8069669.69,105.1
PRJ-1040,Central Substation Phase 4,Closed,5088266,5336799.25,0.0,5336799.25,104.9
PRJ-1093,Metro Substation Phase 3,Closed,1046283,1090210.74,4295.0,1094505.74,104.6
PRJ-1053,North Substation Phase 4,Closed,2094257,2177535.13,0.0,2177535.13,104.0
PRJ-1077,Rural Compliance Phase 3,Closed,19589108,20078706.23,0.0,20078706.23,102.5
PRJ-1009,South Grid Phase 3,Closed,6294071,5976323.12,0.0,5976323.12,95.0
PRJ-1037,East Hydro Phase 3,Closed,6373384,6040462.16,3195.0,6043657.16,94.8
PRJ-1038,Rural Compliance Phase 3,Closed,6090928,5725110.34,13001.25,5738111.59,94.2
PRJ-1100,Rural Grid Phase 2,Closed,5377667,5059832.18,0.0,5059832.18,94.1
PRJ-1034,Metro Wind Phase 2,Closed,3926324,3661829.48,1725.0,3663554.48,93.3
PRJ-1089,North Grid Phase 3,Closed,4360506,4018565.82,3163.5,4021729.32,92.2
PRJ-1068,North Hydro Phase 3,Closed,2805667,2565438.95,0.0,2565438.95,91.4
PRJ-1079,Metro Wind Phase 2,Closed,7315126,6675091.4,0.0,6675091.4,91.3
PRJ-1000,Central Wind Phase 3,Closed,20390996,18416183.77,2035.0,18418218.77,90.3
PRJ-1006,North Solar Phase 1,Closed,55964163,50395805.91,2380.0,50398185.91,90.1
PRJ-1030,Rural Substation Phase 1,Closed,913858,806790.3,1035.0,807825.3,88.4
PRJ-1035,Metro Substation Phase 1,Closed,2747972,2336115.56,1575.0,2337690.56,85.1
PRJ-1097,South Compliance Phase 1,Closed,54537242,46176991.02,4405.0,46181396.02,84.7
PRJ-1070,East Substation Phase 4,Closed,1052496,883625.37,1665.0,885290.37,84.1
PRJ-1025,Central Grid Phase 2,Closed,2555059,2106025.95,5703.0,2111728.95,82.6
PRJ-1091,Central Compliance Phase 1,Closed,2796851,2295769.19,3757.5,2299526.69,82.2
PRJ-1083,Metro Maintenance Phase 3,Closed,12458657,10122722.52,6662.5,10129385.02,81.3
PRJ-1072,Metro Substation Phase 4,Closed,2806256,2278402.32,0.0,2278402.32,81.2
PRJ-1107,Metro Substation Phase 4,Closed,2736429,2214517.94,0.0,2214517.94,80.9
PRJ-1003,North Grid Phase 2,Closed,3185758,2569744.42,1461.5,2571205.92,80.7
PRJ-1108,East Wind Phase 3,Closed,1085992,860492.68,3895.0,864387.68,79.6
PRJ-1106,North Substation Phase 4,Closed,12049908,9528097.61,0.0,9528097.61,79.1
PRJ-1058,South Maintenance Phase 4,Closed,12122732,9562394.02,3874.5,9566268.52,78.9
PRJ-1043,Metro Solar Phase 2,Closed,12123727,9469175.65,3712.5,9472888.15,78.1
PRJ-1086,Central Solar Phase 4,Closed,966998,714722.68,1035.0,715757.68,74.0
PRJ-1023,South Grid Phase 4,Closed,2280885,1680652.92,2205.0,1682857.92,73.8
PRJ-1074,Rural Maintenance Phase 2,Closed,2164681,1592767.6,0.0,1592767.6,73.6
PRJ-1111,Metro Compliance Phase 2,Closed,6253563,4544715.32,4545.0,4549260.32,72.7
PRJ-1051,Central Substation Phase 3,Closed,7482742,5417021.24,1054.5,5418075.74,72.4
PRJ-1069,Rural Compliance Phase 3,Closed,12026199,8696940.11,4220.0,8701160.11,72.4
PRJ-1078,East Substation Phase 1,Closed,1890583,1348298.14,1091.5,1349389.64,71.4
