EMPLID,NAME,FIRM,PROJECT_ID,WORK_DATE,TRC,HOURS,BILL_RATE,TOTAL_COST
C50196,Consultant_197,Consulting_Firm_10,PRJ-1001,05-01-2026,REG,5.4,275,1485
C50236,Consultant_237,Consulting_Firm_14,PRJ-1064,05-01-2026,REG,4.7,275,1292.5
C50219,Consultant_220,Consulting_Firm_15,PRJ-1093,05-01-2026,REG,5.5,350,1925
C50129,Consultant_130,Consulting_Firm_1,PRJ-1080,05-01-2026,REG,5.7,350,1995
C50066,Consultant_67,Consulting_Firm_3,PRJ-1025,05-01-2026,OT,11.1,185,3080.25
C50059,Consultant_60,Consulting_Firm_15,PRJ-1056,05-01-2026,REG,7.3,275,2007.5
C50047,Consultant_48,Consulting_Firm_12,PRJ-1039,05-01-2026,REG,7.6,225,1710
C50022,Consultant_23,Consulting_Firm_12,PRJ-1040,05-01-2026,REG,4.9,450,2205
C50167,Consultant_168,Consulting_Firm_13,PRJ-1041,05-01-2026,REG,4.8,450,2160
C50111,Consultant_112,Consulting_Firm_4,PRJ-1064,05-01-2026,REG,7,450,3150
C50020,Consultant_21,Consulting_Firm_11,PRJ-1114,05-01-2026,REG,7.3,450,3285
C50022,Consultant_23,Consulting_Firm_12,PRJ-1039,05-01-2026,OT,8.6,450,5805
C50120,Consultant_121,Consulting_Firm_2,PRJ-1037,05-01-2026,OT,10,185,2775
C50079,Consultant_80,Consulting_Firm_6,PRJ-1097,05-01-2026,REG,7.9,275,2172.5
C50093,Consultant_94,Consulting_Firm_5,PRJ-1096,05-01-2026,REG,7,450,3150
C50043,Consultant_44,Consulting_Firm_12,PRJ-1026,05-01-2026,REG,4.1,185,758.5
C50172,Consultant_173,Consulting_Firm_5,PRJ-1111,05-01-2026,REG,5.1,275,1402.5
C50140,Consultant_141,Consulting_Firm_10,PRJ-1021,05-01-2026,OT,11.4,150,2565
C50086,Consultant_87,Consulting_Firm_5,PRJ-1029,05-01-2026,REG,5.9,350,2065
C50141,Consultant_142,Consulting_Firm_4,PRJ-1084,05-01-2026,OT,11.2,350,5880
C50123,Consultant_124,Consulting_Firm_8,PRJ-1058,05-01-2026,REG,5.5,275,1512.5
C50217,Consultant_218,Consulting_Firm_2,PRJ-1055,05-01-2026,REG,5.8,275,1595
C50148,Consultant_149,Consulting_Firm_12,PRJ-1052,05-01-2026,REG,6.7,225,1507.5
C50171,Consultant_172,Consulting_Firm_13,PRJ-1083,05-01-2026,REG,5.3,225,1192.5
C50181,Consultant_182,Consulting_Firm_9,PRJ-1089,05-01-2026,REG,5.8,225,1305
C50085,Consultant_86,Consulting_Firm_12,PRJ-1087,05-01-2026,REG,7.7,150,1155
C50058,Consultant_59,Consulting_Firm_2,PRJ-1113,05-01-2026,REG,6,150,900
C50202,Consultant_203,Consulting_Firm_3,PRJ-1111,05-01-2026,OT,11.5,275,4743.75
C50067,Consultant_68,Consulting_Firm_13,PRJ-1076,05-01-2026,REG,5.9,150,885
C50171,Consultant_172,Consulting_Firm_13,PRJ-1087,05-01-2026,REG,7.4,225,1665
C50018,Consultant_19,Consulting_Firm_14,PRJ-1003,05-01-2026,OT,10.6,350,5565
C50121,Consultant_122,Consulting_Firm_13,PRJ-1045,05-01-2026,REG,7.7,450,3465
C50075,Consultant_76,Consulting_Firm_3,PRJ-1113,05-01-2026,REG,6.8,150,1020
C50079,Consultant_80,Consulting_Firm_6,PRJ-1064,05-01-2026,REG,4.2,275,1155
C50167,Consultant_168,Consulting_Firm_13,PRJ-1042,05-01-2026,REG,6.7,450,3015
C50037,Consultant_38,Consulting_Firm_8,PRJ-1043,05-01-2026,REG,4.5,275,1237.5
C50019,Consultant_20,Consulting_Firm_2,PRJ-1075,05-01-2026,REG,4.9,275,1347.5
C50233,Consultant_234,Consulting_Firm_11,PRJ-1055,05-01-2026,REG,6.9,350,2415
C50059,Consultant_60,Consulting_Firm_15,PRJ-1009,05-01-2026,REG,4.7,275,1292.5
C50189,Consultant_190,Consulting_Firm_4,PRJ-1080,05-01-2026,REG,7.5,450,3375
C50245,Consultant_246,Consulting_Firm_13,PRJ-1026,05-01-2026,REG,6.2,350,2170
C50153,Consultant_154,Consulting_Firm_13,PRJ-1066,05-01-2026,REG,7,225,1575
C50106,Consultant_107,Consulting_Firm_12,PRJ-1111,05-01-2026,REG,6,150,900
C50036,Consultant_37,Consulting_Firm_2,PRJ-1065,05-01-2026,OT,10.3,450,6952.5
C50038,Consultant_39,Consulting_Firm_13,PRJ-1026,05-01-2026,REG,6.2,350,2170
C50215,Consultant_216,Consulting_Firm_1,PRJ-1024,05-01-2026,REG,6.2,185,1147
C50144,Consultant_145,Consulting_Firm_1,PRJ-1094,05-01-2026,REG,4.9,350,1715
C50191,Consultant_192,Consulting_Firm_3,PRJ-1035,05-01-2026,REG,7.7,275,2117.5
C50133,Consultant_134,Consulting_Firm_5,PRJ-1014,05-01-2026,REG,5.2,150,780
C50016,Consultant_17,Consulting_Firm_8,PRJ-1037,05-01-2026,REG,6.4,350,2240
C50078,Consultant_79,Consulting_Firm_2,PRJ-1069,05-01-2026,REG,5,275,1375
C50125,Consultant_126,Consulting_Firm_10,PRJ-1011,05-01-2026,REG,5.5,275,1512.5
C50211,Consultant_212,Consulting_Firm_1,PRJ-1008,05-01-2026,OT,8.8,350,4620
C50139,Consultant_140,Consulting_Firm_2,PRJ-1058,05-01-2026,OT,10.1,350,5302.5
C50086,Consultant_87,Consulting_Firm_5,PRJ-1085,05-01-2026,REG,6.3,350,2205
C50240,Consultant_241,Consulting_Firm_12,PRJ-1042,05-01-2026,REG,7.1,275,1952.5
C50127,Consultant_128,Consulting_Firm_11,PRJ-1001,05-01-2026,REG,5,150,750
C50019,Consultant_20,Consulting_Firm_2,PRJ-1104,05-01-2026,REG,7.4,275,2035
C50167,Consultant_168,Consulting_Firm_13,PRJ-1046,05-01-2026,REG,6.7,450,3015
C50065,Consultant_66,Consulting_Firm_14,PRJ-1054,05-01-2026,REG,5.8,350,2030
C50157,Consultant_158,Consulting_Firm_4,PRJ-1086,05-01-2026,REG,7.6,350,2660
C50041,Consultant_42,Consulting_Firm_15,PRJ-1101,05-01-2026,REG,6.9,150,1035
C50241,Consultant_242,Consulting_Firm_1,PRJ-1065,05-01-2026,REG,4.7,185,869.5
C50108,Consultant_109,Consulting_Firm_13,PRJ-1113,05-01-2026,OT,11,450,7425
C50108,Consultant_109,Consulting_Firm_13,PRJ-1036,05-01-2026,REG,6.8,450,3060
C50005,Consultant_6,Consulting_Firm_8,PRJ-1036,05-01-2026,REG,5.1,185,943.5
C50160,Consultant_161,Consulting_Firm_15,PRJ-1114,05-01-2026,REG,4.7,450,2115
C50200,Consultant_201,Consulting_Firm_12,PRJ-1024,05-01-2026,REG,5.4,225,1215
C50241,Consultant_242,Consulting_Firm_1,PRJ-1114,05-01-2026,OT,10.4,185,2886
C50042,Consultant_43,Consulting_Firm_3,PRJ-1016,05-01-2026,REG,4.9,150,735
C50017,Consultant_18,Consulting_Firm_15,PRJ-1009,05-01-2026,REG,4.8,450,2160
C50235,Consultant_236,Consulting_Firm_5,PRJ-1104,05-01-2026,REG,4.7,225,1057.5
C50224,Consultant_225,Consulting_Firm_6,PRJ-1001,05-01-2026,OT,8.6,185,2386.5
C50162,Consultant_163,Consulting_Firm_5,PRJ-1083,05-01-2026,REG,5.4,350,1890
C50205,Consultant_206,Consulting_Firm_14,PRJ-1046,05-01-2026,REG,6.3,150,945
C50085,Consultant_86,Consulting_Firm_12,PRJ-1072,05-01-2026,REG,6,150,900
C50107,Consultant_108,Consulting_Firm_6,PRJ-1031,05-01-2026,REG,7.5,225,1687.5
C50117,Consultant_118,Consulting_Firm_14,PRJ-1103,05-01-2026,OT,11.4,185,3163.5
C50038,Consultant_39,Consulting_Firm_13,PRJ-1067,05-01-2026,OT,9,350,4725
C50117,Consultant_118,Consulting_Firm_14,PRJ-1087,05-01-2026,REG,5.7,185,1054.5
C50081,Consultant_82,Consulting_Firm_8,PRJ-1017,05-01-2026,OT,10.1,350,5302.5
C50051,Consultant_52,Consulting_Firm_2,PRJ-1008,05-01-2026,OT,9.7,150,2182.5
C50095,Consultant_96,Consulting_Firm_8,PRJ-1061,05-01-2026,REG,6.8,225,1530
C50050,Consultant_51,Consulting_Firm_1,PRJ-1027,05-01-2026,REG,6.4,275,1760
C50055,Consultant_56,Consulting_Firm_1,PRJ-1021,05-01-2026,REG,7.9,185,1461.5
C50164,Consultant_165,Consulting_Firm_15,PRJ-1045,05-01-2026,REG,4.4,150,660
C50230,Consultant_231,Consulting_Firm_4,PRJ-1013,05-01-2026,REG,7.7,225,1732.5
C50155,Consultant_156,Consulting_Firm_4,PRJ-1045,05-01-2026,REG,7.5,450,3375
C50008,Consultant_9,Consulting_Firm_9,PRJ-1049,05-01-2026,REG,5.1,350,1785
C50059,Consultant_60,Consulting_Firm_15,PRJ-1025,05-01-2026,REG,6.6,275,1815
C50040,Consultant_41,Consulting_Firm_1,PRJ-1096,05-01-2026,REG,5.9,185,1091.5
C50221,Consultant_222,Consulting_Firm_1,PRJ-1021,05-01-2026,REG,5.9,225,1327.5
C50039,Consultant_40,Consulting_Firm_10,PRJ-1049,05-01-2026,REG,7.4,450,3330
C50096,Consultant_97,Consulting_Firm_14,PRJ-1087,05-01-2026,REG,7.6,225,1710
C50180,Consultant_181,Consulting_Firm_4,PRJ-1099,05-01-2026,REG,6,275,1650
C50192,Consultant_193,Consulting_Firm_2,PRJ-1037,05-01-2026,OT,9.5,185,2636.25
C50216,Consultant_217,Consulting_Firm_2,PRJ-1041,05-01-2026,REG,6.2,185,1147
C50081,Consultant_82,Consulting_Firm_8,PRJ-1008,05-01-2026,REG,5.3,350,1855
C50184,Consultant_185,Consulting_Firm_10,PRJ-1080,05-01-2026,REG,5.8,350,2030
C50041,Consultant_42,Consulting_Firm_15,PRJ-1016,05-01-2026,REG,4,150,600
C50038,Consultant_39,Consulting_Firm_13,PRJ-1009,05-01-2026,REG,7.3,350,2555
C50144,Consultant_145,Consulting_Firm_1,PRJ-1111,05-01-2026,REG,6.9,350,2415
C50095,Consultant_96,Consulting_Firm_8,PRJ-1058,05-01-2026,REG,6.6,225,1485
C50059,Consultant_60,Consulting_Firm_15,PRJ-1000,05-01-2026,REG,4.3,275,1182.5
C50200,Consultant_201,Consulting_Firm_12,PRJ-1066,05-01-2026,REG,7.2,225,1620
C50009,Consultant_10,Consulting_Firm_10,PRJ-1064,05-01-2026,OT,9.3,350,4882.5
C50131,Consultant_132,Consulting_Firm_9,PRJ-1083,05-01-2026,REG,4.6,185,851
C50191,Consultant_192,Consulting_Firm_3,PRJ-1029,05-01-2026,OT,8.7,275,3588.75
C50163,Consultant_164,Consulting_Firm_1,PRJ-1092,05-01-2026,REG,5.8,225,1305
C50182,Consultant_183,Consulting_Firm_1,PRJ-1058,05-01-2026,REG,4.9,275,1347.5
C50107,Consultant_108,Consulting_Firm_6,PRJ-1113,05-01-2026,REG,7.5,225,1687.5
C50103,Consultant_104,Consulting_Firm_5,PRJ-1024,05-01-2026,REG,6.4,350,2240
C50011,Consultant_12,Consulting_Firm_9,PRJ-1056,05-01-2026,REG,6,185,1110
C50232,Consultant_233,Consulting_Firm_12,PRJ-1113,05-01-2026,OT,9.1,225,3071.25
C50074,Consultant_75,Consulting_Firm_3,PRJ-1114,05-01-2026,REG,5.6,450,2520
C50062,Consultant_63,Consulting_Firm_4,PRJ-1087,05-01-2026,OT,9.3,275,3836.25
C50160,Consultant_161,Consulting_Firm_15,PRJ-1099,05-01-2026,REG,6.1,450,2745
C50181,Consultant_182,Consulting_Firm_9,PRJ-1036,05-01-2026,REG,7.4,225,1665
C50184,Consultant_185,Consulting_Firm_10,PRJ-1021,05-01-2026,REG,4.6,350,1610
C50114,Consultant_115,Consulting_Firm_8,PRJ-1008,05-01-2026,REG,5.4,275,1485
C50079,Consultant_80,Consulting_Firm_6,PRJ-1101,05-01-2026,OT,10.5,275,4331.25
C50171,Consultant_172,Consulting_Firm_13,PRJ-1022,05-01-2026,REG,4.9,225,1102.5
C50227,Consultant_228,Consulting_Firm_7,PRJ-1028,05-01-2026,REG,8,185,1480
C50245,Consultant_246,Consulting_Firm_13,PRJ-1031,05-01-2026,OT,10.1,350,5302.5
C50060,Consultant_61,Consulting_Firm_5,PRJ-1014,05-01-2026,REG,6.6,350,2310
C50190,Consultant_191,Consulting_Firm_15,PRJ-1055,05-01-2026,OT,11.8,275,4867.5
C50083,Consultant_84,Consulting_Firm_9,PRJ-1039,05-01-2026,REG,7.5,275,2062.5
C50127,Consultant_128,Consulting_Firm_11,PRJ-1089,05-01-2026,REG,5.8,150,870
C50026,Consultant_27,Consulting_Firm_11,PRJ-1083,05-01-2026,REG,5.8,350,2030
C50219,Consultant_220,Consulting_Firm_15,PRJ-1075,05-01-2026,OT,10.2,350,5355
C50068,Consultant_69,Consulting_Firm_5,PRJ-1101,05-01-2026,REG,6.2,350,2170
C50087,Consultant_88,Consulting_Firm_13,PRJ-1035,05-01-2026,REG,4.1,225,922.5
C50134,Consultant_135,Consulting_Firm_2,PRJ-1080,05-01-2026,REG,5.7,150,855
C50074,Consultant_75,Consulting_Firm_3,PRJ-1082,05-01-2026,OT,11.7,450,7897.5
C50115,Consultant_116,Consulting_Firm_2,PRJ-1031,05-01-2026,REG,5.7,150,855
C50031,Consultant_32,Consulting_Firm_3,PRJ-1077,05-01-2026,REG,6.5,350,2275
C50130,Consultant_131,Consulting_Firm_14,PRJ-1014,05-01-2026,REG,5.7,450,2565
C50063,Consultant_64,Consulting_Firm_13,PRJ-1031,05-01-2026,REG,7.1,350,2485
C50248,Consultant_249,Consulting_Firm_15,PRJ-1082,05-01-2026,REG,6.4,225,1440
C50064,Consultant_65,Consulting_Firm_5,PRJ-1086,05-01-2026,REG,5.8,150,870
C50052,Consultant_53,Consulting_Firm_7,PRJ-1012,05-01-2026,REG,7.6,225,1710
C50004,Consultant_5,Consulting_Firm_14,PRJ-1090,05-01-2026,REG,6.3,275,1732.5
C50175,Consultant_176,Consulting_Firm_3,PRJ-1090,05-01-2026,REG,4.2,450,1890
C50062,Consultant_63,Consulting_Firm_4,PRJ-1003,05-01-2026,REG,4.8,275,1320
C50008,Consultant_9,Consulting_Firm_9,PRJ-1087,05-01-2026,OT,11.9,350,6247.5
C50063,Consultant_64,Consulting_Firm_13,PRJ-1104,05-01-2026,OT,11,350,5775
C50000,Consultant_1,Consulting_Firm_8,PRJ-1101,05-01-2026,REG,4.2,185,777
C50160,Consultant_161,Consulting_Firm_15,PRJ-1041,05-01-2026,REG,7.6,450,3420
C50015,Consultant_16,Consulting_Firm_14,PRJ-1045,05-01-2026,REG,6.3,450,2835
C50210,Consultant_211,Consulting_Firm_2,PRJ-1082,05-01-2026,OT,10.4,275,4290
C50143,Consultant_144,Consulting_Firm_8,PRJ-1096,05-01-2026,REG,7.5,275,2062.5
C50069,Consultant_70,Consulting_Firm_13,PRJ-1032,05-01-2026,OT,11.8,150,2655
C50082,Consultant_83,Consulting_Firm_14,PRJ-1021,05-01-2026,REG,6.5,225,1462.5
C50145,Consultant_146,Consulting_Firm_4,PRJ-1042,05-01-2026,REG,6.2,225,1395
C50128,Consultant_129,Consulting_Firm_9,PRJ-1084,05-01-2026,REG,6.7,185,1239.5
C50245,Consultant_246,Consulting_Firm_13,PRJ-1099,05-01-2026,REG,7.3,350,2555
C50112,Consultant_113,Consulting_Firm_12,PRJ-1068,05-01-2026,REG,4.1,150,615
C50071,Consultant_72,Consulting_Firm_15,PRJ-1106,05-01-2026,REG,4.7,225,1057.5
C50204,Consultant_205,Consulting_Firm_2,PRJ-1062,05-01-2026,REG,5.4,185,999
C50128,Consultant_129,Consulting_Firm_9,PRJ-1104,05-01-2026,REG,7.1,185,1313.5
C50127,Consultant_128,Consulting_Firm_11,PRJ-1048,05-01-2026,REG,7.6,150,1140
C50208,Consultant_209,Consulting_Firm_2,PRJ-1048,05-01-2026,REG,6.6,185,1221
C50026,Consultant_27,Consulting_Firm_11,PRJ-1086,05-01-2026,OT,10.8,350,5670
C50126,Consultant_127,Consulting_Firm_5,PRJ-1004,05-01-2026,REG,4.5,150,675
C50245,Consultant_246,Consulting_Firm_13,PRJ-1084,05-01-2026,REG,4.7,350,1645
C50047,Consultant_48,Consulting_Firm_12,PRJ-1090,05-01-2026,OT,11.4,225,3847.5
C50113,Consultant_114,Consulting_Firm_3,PRJ-1031,05-01-2026,REG,6.1,150,915
C50151,Consultant_152,Consulting_Firm_6,PRJ-1027,05-01-2026,REG,4.7,225,1057.5
C50044,Consultant_45,Consulting_Firm_1,PRJ-1022,05-01-2026,REG,4.7,150,705
C50034,Consultant_35,Consulting_Firm_7,PRJ-1069,05-01-2026,REG,4.7,350,1645
C50021,Consultant_22,Consulting_Firm_3,PRJ-1009,05-01-2026,REG,5.7,185,1054.5
C50192,Consultant_193,Consulting_Firm_2,PRJ-1078,05-01-2026,REG,5.6,185,1036
C50051,Consultant_52,Consulting_Firm_2,PRJ-1087,05-01-2026,REG,5.7,150,855
C50005,Consultant_6,Consulting_Firm_8,PRJ-1075,05-01-2026,REG,7.4,185,1369
C50046,Consultant_47,Consulting_Firm_9,PRJ-1094,05-01-2026,OT,11.2,150,2520
C50121,Consultant_122,Consulting_Firm_13,PRJ-1080,05-01-2026,REG,5.7,450,2565
C50203,Consultant_204,Consulting_Firm_7,PRJ-1042,05-01-2026,REG,4.2,275,1155
C50126,Consultant_127,Consulting_Firm_5,PRJ-1075,05-01-2026,REG,7,150,1050
C50120,Consultant_121,Consulting_Firm_2,PRJ-1093,05-01-2026,REG,7.8,185,1443
C50182,Consultant_183,Consulting_Firm_1,PRJ-1031,05-01-2026,REG,6.5,275,1787.5
C50084,Consultant_85,Consulting_Firm_9,PRJ-1080,05-01-2026,REG,6.7,185,1239.5
C50016,Consultant_17,Consulting_Firm_8,PRJ-1084,05-01-2026,OT,8.8,350,4620
C50164,Consultant_165,Consulting_Firm_15,PRJ-1089,05-01-2026,REG,5.6,150,840
C50026,Consultant_27,Consulting_Firm_11,PRJ-1087,05-01-2026,REG,7,350,2450
C50219,Consultant_220,Consulting_Firm_15,PRJ-1046,05-01-2026,REG,7.6,350,2660
C50005,Consultant_6,Consulting_Firm_8,PRJ-1068,05-01-2026,REG,7.6,185,1406
C50170,Consultant_171,Consulting_Firm_12,PRJ-1029,05-01-2026,OT,8.9,150,2002.5
C50119,Consultant_120,Consulting_Firm_10,PRJ-1009,05-01-2026,REG,6.9,225,1552.5
C50037,Consultant_38,Consulting_Firm_8,PRJ-1099,05-01-2026,OT,11.2,275,4620
C50162,Consultant_163,Consulting_Firm_5,PRJ-1111,05-01-2026,REG,6.9,350,2415
C50128,Consultant_129,Consulting_Firm_9,PRJ-1092,05-01-2026,REG,5.3,185,980.5
C50064,Consultant_65,Consulting_Firm_5,PRJ-1045,05-01-2026,OT,11.6,150,2610
C50044,Consultant_45,Consulting_Firm_1,PRJ-1016,05-01-2026,REG,6.5,150,975
C50166,Consultant_167,Consulting_Firm_12,PRJ-1078,05-01-2026,REG,5.9,450,2655
C50092,Consultant_93,Consulting_Firm_13,PRJ-1042,05-01-2026,OT,9.8,275,4042.5
C50132,Consultant_133,Consulting_Firm_1,PRJ-1009,05-01-2026,REG,7.1,185,1313.5
C50245,Consultant_246,Consulting_Firm_13,PRJ-1058,05-01-2026,REG,7.4,350,2590
C50186,Consultant_187,Consulting_Firm_8,PRJ-1024,05-01-2026,OT,11.2,150,2520
C50220,Consultant_221,Consulting_Firm_10,PRJ-1049,05-01-2026,REG,6.2,150,930
C50236,Consultant_237,Consulting_Firm_14,PRJ-1078,05-01-2026,REG,5.5,275,1512.5
